Score,Title,Company,Location,URL,Resume,Relocation Note,Suggestions,Status
100,Senior Software Engineer - Synthetics Platform,Datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/7950090/?gh_jid=7950090,Kamnee_Maran_Resume_FAANG.pdf,Global hiring - sponsorship possible,"JD mentions: python, go, r, cloud, kubernetes — ensure these are prominent in your resume summary.; Skill gap detected: terraform, cassandra. Consider noting willingness to learn or relevant adjacent experience.",new
92,"Senior Backend Engineer, Gitlab Delivery: Runway (Platform Engineering)",GitLab,"Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8324132002,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: go, r, cloud, kubernetes, architecture — ensure these are prominent in your resume summary.; Skill gap detected: rust, git, gitlab. Consider noting willingness to learn or relevant adjacent experience.",new
92,Principal Software Developer I - Distributed Systems - Elasticsearch,Elastic,Canada,https://jobs.elastic.co/jobs?gh_jid=7982102&gh_jid=7982102,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Greece,https://jobs.elastic.co/jobs?gh_jid=8002555&gh_jid=8002555,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Sweden,https://jobs.elastic.co/jobs?gh_jid=8002563&gh_jid=8002563,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Spain,https://jobs.elastic.co/jobs?gh_jid=8002562&gh_jid=8002562,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Romania,https://jobs.elastic.co/jobs?gh_jid=8002561&gh_jid=8002561,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Portugal,https://jobs.elastic.co/jobs?gh_jid=8002560&gh_jid=8002560,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Norway,https://jobs.elastic.co/jobs?gh_jid=8002559&gh_jid=8002559,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
92,Principal Software Engineer I - Distributed Systems - Elasticsearch,Elastic,Ireland,https://jobs.elastic.co/jobs?gh_jid=8002558&gh_jid=8002558,Kamnee_Maran_Resume_FAANG.pdf,100% remote - no visa needed,"JD mentions: java, go, r, cloud, distributed systems — ensure these are prominent in your resume summary.",new
